Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
4297981,76838003,Structure of supraclavicular lymph node,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4309933,213384005,Entire left lower leg,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4034043,113293009,Structure of left fallopian tube,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4047496,122552005,Arterial blood specimen,Specimen,Specimen,SNOMED,Valid,Standard,
4051175,23347006,Structure of splenium of corpus callosum,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4057993,181890004,Entire base of skull,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4065979,20060009,Structure of right lower eyelid,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4088800,280644003,Entire umbilical cord,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4120138,302553009,Entire abdomen,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4151384,28231008,Gallbladder structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4199135,51878007,A band,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4202534,53838007,Sideroblast,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4210045,55603005,Adipose tissue,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4220204,82169009,Structure of left knee region,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4223040,40133006,Structure of body of pancreas,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4231564,89524008,Structure of lymph nodes of body as a whole,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4233095,89679009,Structure of mesentery of peritoneum,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4241290,91775009,Structure of left shoulder region,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4241291,91776005,Entire right hip region,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4253790,74298007,Left frontal lobe structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4253803,74358007,Skin structure of upper back,Body Structure,Spec Anatomic Site,SNOMED,Invalid,Non-standard,
4267273,62035001,Cytoplasmic matrix,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4269080,62683002,Mediastinal lymph node structure,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4271843,64262003,Structure of right forearm,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
4272632,64344009,Structure of neck of urinary bladder,Body Structure,Spec Anatomic Site,SNOMED,Valid,Standard,
