Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
8588	mm	millimeter	Unit	Unit	UCUM	Valid	Standard
8589	[OD'ratio]	O.D. ratio	Unit	Unit	UCUM	Valid	Standard
8590	[OD'U]	O.D. unit	Unit	Unit	UCUM	Valid	Standard
8591	[{of'total'H}]	Of Total H	Unit	Unit	UCUM	Invalid	Non-standard
8593	[{see'report}]	See report	Unit	Unit	UCUM	Invalid	Non-standard
8596	{calc}	calculated	Unit	Unit	UCUM	Valid	Standard
8597	{inhibition}	inhibition	Unit	Unit	UCUM	Invalid	Non-standard
8598	{relative}	relative	Unit	Unit	UCUM	Valid	Standard
8600	[ELU]	Elisa unit	Unit	Unit	UCUM	Valid	Standard
8604	%{mean'normal}	percent mean normal	Unit	Unit	UCUM	Valid	Standard
8605	mosm	milliosmole	Unit	Unit	UCUM	Valid	Standard
8606	[ratio'U]	ratio unit	Unit	Unit	UCUM	Valid	Standard
8607	[{res'U}]	Result unit	Unit	Unit	UCUM	Invalid	Non-standard
8608	[{index'value}]	index value	Unit	Unit	UCUM	Invalid	Non-standard
8609	[GPI'IgA'U]	beta-2 GPI IgA Ab unit	Unit	Unit	UCUM	Valid	Standard
8610	[GPI'IgG'U]	beta-2 GPI IgG Ab unit	Unit	Unit	UCUM	Valid	Standard
8611	[GPI'IgM'U]	beta-2 GPI IgM Ab unit	Unit	Unit	UCUM	Valid	Standard
8612	{IM}/L	IM per liter	Unit	Unit	UCUM	Invalid	Non-standard
8613	%{normal'forms}	normal forms	Unit	Unit	UCUM	Valid	Standard
8616	[PANBIO'U]	Panbio bacterial IgG and IgM unit	Unit	Unit	UCUM	Valid	Standard
8617	m2	square meter	Unit	Unit	UCUM	Valid	Standard
8621	d/wk	day per week	Unit	Unit	UCUM	Valid	Standard
8622	g/{time}	gram per time	Unit	Unit	UCUM	Valid	Standard
8623	lg({reduction})	log reduction	Unit	Unit	UCUM	Valid	Standard
8624	{MEG}/L	MEG per liter	Unit	Unit	UCUM	Invalid	Non-standard
8626	[{of'inhibition}]	Of Inhibition	Unit	Unit	UCUM	Invalid	Non-standard
8628	{times'avg}	times average	Unit	Unit	UCUM	Valid	Standard
8629	[U]/g	unit per gram	Unit	Unit	UCUM	Valid	Standard
8630	[U]/h	unit per hour	Unit	Unit	UCUM	Valid	Standard
8631	%{sperm'motility'at'60'min}	sperm motility at 60 minutes	Unit	Unit	UCUM	Valid	Standard
8632	%{tot}	percent total	Unit	Unit	UCUM	Valid	Standard
8636	g/L	gram per liter	Unit	Unit	UCUM	Valid	Standard
8637	[neg'count]	negative count	Unit	Unit	UCUM	Valid	Standard
8641	p/g	poise per gram	Unit	Unit	UCUM	Valid	Standard
8644	s/{CO}	Seconds per CO	Unit	Unit	UCUM	Invalid	Non-standard
8645	[U]/L	unit per liter	Unit	Unit	UCUM	Valid	Standard
8646	[{vol}'%]	Volume percent	Unit	Unit	UCUM	Invalid	Non-standard
8647	/uL	per microliter	Unit	Unit	UCUM	Valid	Standard
8648	%{of'normal}	percent of normal	Unit	Unit	UCUM	Valid	Standard
8649	%{uptake}	percent uptake	Unit	Unit	UCUM	Valid	Standard
8653	[degC]	degree Celsius	Unit	Unit	UCUM	Invalid	Non-standard
8654	[{enzyme'activity}]	Enzyme activity	Unit	Unit	UCUM	Invalid	Non-standard
8655	F/L	Farad per liter	Unit	Unit	UCUM	Valid	Standard
8656	[LPF]	Low Power Field	Unit	Unit	UCUM	Invalid	Non-standard
8659	%{CD19+'cells}	percent CD19+ cells	Unit	Unit	UCUM	Valid	Standard
8660	%{in'gate}	percent in gate	Unit	Unit	UCUM	Valid	Standard
8662	[U]/10	unit per 10	Unit	Unit	UCUM	Valid	Standard
8664	AU	astronomic unit	Unit	Unit	UCUM	Invalid	Non-standard
8665	nmol{BColl}eq	nanomole of bone collagen equivalent	Unit	Unit	UCUM	Valid	Standard
8670	{EU}/dL	EU per deciliter	Unit	Unit	UCUM	Invalid	Non-standard
8673	[HPF]	High Power Field	Unit	Unit	UCUM	Invalid	Non-standard
8675	mL/{spec}	milliliter per specimen	Unit	Unit	UCUM	Valid	Standard
8683	[{tot'creat}]	Total creatinine	Unit	Unit	UCUM	Invalid	Non-standard
8684	[{tot'HGB}]	Total hemoglobin	Unit	Unit	UCUM	Invalid	Non-standard
8686	mm3	cubic millimeter	Unit	Unit	UCUM	Valid	Standard
8687	%{activity}	percent activity	Unit	Unit	UCUM	Valid	Standard
8688	%{baseline}	percent baseline	Unit	Unit	UCUM	Valid	Standard
8695	[EU]/mL	Ehrlich unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8698	L/min	liter per minute	Unit	Unit	UCUM	Valid	Standard
8700	mg/d	Milligram per day	Unit	Unit	UCUM	Invalid	Non-standard
8701	ng/g	nanogram per gram	Unit	Unit	UCUM	Valid	Standard
8703	[ppb]	parts per billion	Unit	Unit	UCUM	Valid	Standard
8704	pg/{cell}	picogram per cell	Unit	Unit	UCUM	Valid	Standard
8712	{ery}/uL	erythrocytes per microliter	Unit	Unit	UCUM	Valid	Standard
8713	g/dL	gram per deciliter	Unit	Unit	UCUM	Valid	Standard
8718	[iU]	international unit	Unit	Unit	UCUM	Valid	Standard
8719	10*-3.[U]/mL	milliunit per milliliter	Unit	Unit	UCUM	Valid	Standard
8720	ug/g	microgram per gram	Unit	Unit	UCUM	Valid	Standard
8721	ug/{SPEC}	Microgram per SPEC	Unit	Unit	UCUM	Invalid	Non-standard
8722	ug/{time}	microgram per time	Unit	Unit	UCUM	Valid	Standard
8723	mg/g	milligram per gram	Unit	Unit	UCUM	Valid	Standard
8724	mg/{time}	milligram per time	Unit	Unit	UCUM	Valid	Standard
8725	ng/L	nanogram per liter	Unit	Unit	UCUM	Valid	Standard
8728	%{sat}	percent saturation	Unit	Unit	UCUM	Valid	Standard
8729	pmol/L	picomole per liter	Unit	Unit	UCUM	Valid	Standard
8734	10*12/L	trillion per liter	Unit	Unit	UCUM	Valid	Standard
8736	nmol/L	nanomole per liter	Unit	Unit	UCUM	Valid	Standard
8737	%{of'HGB}	percent hemoglobin	Unit	Unit	UCUM	Valid	Standard
8738	%{inhibition}	percent inhibition	Unit	Unit	UCUM	Valid	Standard
8739	[lb_us]	pound (US)	Unit	Unit	UCUM	Valid	Standard
8745	fmol/L	femtomole per liter	Unit	Unit	UCUM	Valid	Standard
8748	ug/L	microgram per liter	Unit	Unit	UCUM	Valid	Standard
8749	umol/L	micromole per liter	Unit	Unit	UCUM	Valid	Standard
8750	10*-6.[U]/L	microunit per liter	Unit	Unit	UCUM	Valid	Standard
8751	mg/L	milligram per liter	Unit	Unit	UCUM	Valid	Standard
8752	mm/h	millimeter per hour	Unit	Unit	UCUM	Valid	Standard
8753	mmol/L	millimole per liter	Unit	Unit	UCUM	Valid	Standard
8754	{NMIL}/mL	NMIL per milliliter	Unit	Unit	UCUM	Invalid	Non-standard
8755	nm/L	Nanometer per Liter	Unit	Unit	UCUM	Invalid	Non-standard
8758	[{of'tot'HGB}]	Of Total Hemoglobin	Unit	Unit	UCUM	Invalid	Non-standard
8763	[U]/mL	unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8765	/[LPF]	per low powered field	Unit	Unit	UCUM	Valid	Standard
8773	m/uL	Meter per microliter	Unit	Unit	UCUM	Invalid	Non-standard
8774	ug/min	microgram per minute	Unit	Unit	UCUM	Valid	Standard
8775	um/L	micrometer per liter	Unit	Unit	UCUM	Valid	Standard
8776	mg/{sample}	milligram per sample	Unit	Unit	UCUM	Valid	Standard
8779	{signal}/[{CO'ratio}]	signal to cutoff ratio	Unit	Unit	UCUM	Valid	Standard
8783	[U]/10.{cells}	unit per 10 cells	Unit	Unit	UCUM	Valid	Standard
8784	{cells}/uL	cells per microliter	Unit	Unit	UCUM	Valid	Standard
8785	/mm3	per cubic millimeter	Unit	Unit	UCUM	Valid	Standard
8786	/[HPF]	per high power field	Unit	Unit	UCUM	Valid	Standard
8791	g/(5.h)	gram per 5 hours	Unit	Unit	UCUM	Valid	Standard
8792	K/uL	Kelvin per microliter	Unit	Unit	UCUM	Invalid	Non-standard
8794	mg.{c}/L	Milligram C per Liter	Unit	Unit	UCUM	Invalid	Non-standard
8795	mL/min	milliliter per minute	Unit	Unit	UCUM	Valid	Standard
8798	[bu_us]/mL	bushel per milliliter	Unit	Unit	UCUM	Valid	Standard
8799	{copies}/mL	copies per milliliter	Unit	Unit	UCUM	Valid	Standard
8800	%{at'60'min}	percent at 60 minutes	Unit	Unit	UCUM	Valid	Standard
8807	g/(24.h)	gram per 24 hours	Unit	Unit	UCUM	Valid	Standard
8810	10*3.[U]/L	kilounit per liter	Unit	Unit	UCUM	Valid	Standard
8815	10*6/uL	million per microliter	Unit	Unit	UCUM	Valid	Standard
8816	10*6/mL	million per milliliter	Unit	Unit	UCUM	Valid	Standard
8817	ng/dL	nanogram per deciliter	Unit	Unit	UCUM	Valid	Standard
8818	ng/mg	nanogram per milligram	Unit	Unit	UCUM	Valid	Standard
8820	pg/dL	picogram per deciliter	Unit	Unit	UCUM	Valid	Standard
8823	[APS'U]/mL	anti-phosphatidylserine IgA concentration (APS) unit per milliter	Unit	Unit	UCUM	Valid	Standard
8829	[EU]/dL	Ehrlich unit per deciliter	Unit	Unit	UCUM	Valid	Standard
8831	[GPS'U]/mL	anti-phosphatidylserine IgG concentration (GPS) unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8836	[MPS'U]/mL	anti-phosphatidylserine IgM concentration (MPS) unit per milliliter	Unit	Unit	UCUM	Valid	Standard
8837	ug/dL	microgram per deciliter	Unit	Unit	UCUM	Valid	Standard
8838	ug/mg	microgram per milligram	Unit	Unit	UCUM	Valid	Standard
8839	umol/dL	micromole per deciliter	Unit	Unit	UCUM	Valid	Standard
8840	mg/dL	milligram per deciliter	Unit	Unit	UCUM	Valid	Standard
8842	ng/mL	nanogram per milliliter	Unit	Unit	UCUM	Valid	Standard
8843	nmol/mL	nanomole per milliliter	Unit	Unit	UCUM	Valid	Standard
8845	pg/mL	picogram per milliliter	Unit	Unit	UCUM	Valid	Standard
8848	10*3/uL	thousand per microliter	Unit	Unit	UCUM	Valid	Standard
8849	%(enzyme'activity}	percent enzyme activity	Unit	Unit	UCUM	Valid	Standard
